No,ID,Bölüm,Üniversite,Yıl,Puan Türü,Açıklama,İl,Tür,Sıralama (2024),Sıralama (2023),Sıralama (2022),Sıralama (2021),Sıralama (2020),Sıralama (2019),Sıralama (2018),Sıralama (2017),Sıralama (2016),Sıralama (2015),Kontenjan (2024),Kontenjan (2023),Kontenjan (2022),Kontenjan (2021),Kontenjan (2020),Kontenjan (2019),Kontenjan (2018),Kontenjan (2017),Kontenjan (2016),Kontenjan (2015),Toplam Tercih (2023),Toplam Tercih (2022),Toplam Tercih (2021),Toplam Tercih (2020),"Yerleşen (E, 2023)","Yerleşen (K, 2023)","Yerleşen (Mzn, 2023)","Yerleşen (E, 2022)","Yerleşen (K, 2022)","Yerleşen (Mzn, 2022)","Yerleşen (E, 2021)","Yerleşen (K, 2021)","Yerleşen (Mzn, 2021)"
1149,202790851,Bilgisayar Mühendisliği,İSTANBUL GELİŞİM ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),İSTANBUL,VAKIF,61661,55834,,,,,,,,,4,6,,,,,,,,,831,,,,6,1,2,,,,,,
1150,300490453,Eczacılık,ULUSLARARASI KIBRIS ÜNİVERSİTESİ,5,SAYISAL,(İngilizce) (Burslu),LEFKOŞA,,61803,62312,62555,51167,50088,51654,47400,0,,,8,8,7,7,7,8,4,,,,239,210,353,336,5,3,5,2,5,5,2,5,6
1151,208610112,Sosyoloji,İBN HALDUN ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),İSTANBUL,VAKIF,61840,71362,118990,85444,84397,66242,82200,34774,0,,8,8,8,8,8,8,10,10,,,95,63,67,48,2,6,1,0,8,4,1,7,3
1152,102890076,Hukuk,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,,ÇANKIRI,DEVLET,61849,48488,55671,56935,33813,0,,,,,180,180,200,200,200,,,,,,3971,3869,6,4527,64,121,97,80,125,114,87,118,133
1153,205710738,Endüstri Mühendisliği,TÜRK HAVA KURUMU ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),ANKARA,VAKIF,61896,54967,61131,68222,73967,72707,70200,80169,0,36388,7,5,5,4,9,4,5,7,6,6,332,225,201,261,2,4,2,2,3,2,0,4,4
1154,106210353,Bilgisayar Mühendisliği,KARADENİZ TEKNİK ÜNİVERSİTESİ,4,SAYISAL,,TRABZON,DEVLET,62303,51601,55435,62959,68141,77196,86100,92369,92391,83615,95,90,90,90,80,80,80,82,80,82,2230,2890,3,2963,61,32,55,66,27,62,52,41,56
1155,206190610,Yazılım Geliştirme,YEDİTEPE ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),İSTANBUL,VAKIF,62319,52494,,,,,,,,,10,9,,,,,,,,,520,,,,7,4,4,,,,,,
1156,208750299,Diş Hekimliği,İSTANBUL KENT ÜNİVERSİTESİ,5,SAYISAL,(%50 İndirimli),İSTANBUL,VAKIF,62338,65376,55679,0,,,,,,,76,72,68,,,,,,,,353,742,0,,32,40,55,24,44,52,0,0,0
1157,202490891,Yönetim Bilişim Sistemleri,İSTANBUL AYDIN ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(Burslu),İSTANBUL,VAKIF,62388,66256,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
1158,111610776,Makine Mühendisliği,İSTANBUL ÜNİVERSİTESİ- CERRAHPAŞA,4,SAYISAL,,,,62395,60079,68881,73749,66125,57169,50100,48683,45000,41800,85,80,80,80,80,80,70,82,82,82,1322,1343,1,1112,67,15,36,70,12,44,65,17,34
1159,104410181,Kimya Mühendisliği,GEBZE TEKNİK ÜNİVERSİTESİ,4,SAYISAL,(İngilizce),KOCAELİ,DEVLET,62434,67749,82127,91484,94341,104427,117000,109674,0,0,50,60,60,60,60,50,50,41,,,1955,1463,1,1452,24,38,32,27,35,29,27,35,31
1160,203910045,Felsefe,KOÇ ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (%50 İndirimli),İSTANBUL,VAKIF,62608,27335,30134,81211,38859,112134,292000,47772,,,2,2,2,2,1,2,2,2,,,33,42,22,32,0,2,0,0,2,0,0,2,0
